trial_idx,hash,type,short_name,movie_name,label,is_natural,origin,naturalness_group
157,GjCMo2GkJp6y5vricadg,Clip,Rendered,americandiner_005-1-5-70-0_54.165.28.255,Rendered,True,rendered,cg_natural
158,Oup5uAZxF2G7zEJkT+ui,Clip,sports1m,2012 USA Basketball vs The Dream Team 1992 USA Basketball - NBA 2K13,Sports1M,True,filmed,human_filmed
159,ecUQJtcERZJGdqza1k7h,Clip,sports1m,2009 Krugers Cross Singlespeed Cyclocross Race - Helmet Cam,Sports1M,True,filmed,human_filmed
160,RL8zpBtdUqrcItpujIVj,Clip,Cinematic,Powaqqatsi: Life in Transformation (1988),Cinematic,True,filmed,human_filmed
161,L313XjQzD6eqzIitZmbl,Clip,Rendered,subway_129-1-3-70-0_54.159.174.165,Rendered,True,rendered,cg_natural
162,G8GCQlSYxw5oG/LVKDs2,Clip,Rendered,americandiner_099-1-5-70-0_184.73.123.94,Rendered,True,rendered,cg_natural
163,YxZMp94AewnnwYmjI/0v,Clip,Cinematic,Koyaanisqatsi: Life Out of Balance (1982),Cinematic,True,filmed,human_filmed
164,wE8wskQ2OpXgYdnpm+o0,Clip,sports1m,13 Rottenmanner Tauern-Adventure-Race,Sports1M,True,filmed,human_filmed
165,Hx7nWm9l4FGDuTlUO/17,Clip,Cinematic,The Matrix Reloaded (2003),Cinematic,True,filmed,human_filmed
166,YLuStB2eXkgOS+Cescsy,Monet2,UNKNOWN,UNKNOWN,Monet2,False,parametric,parametric
167,XGLK1iPaB3zqqTB0sqZn,Monet2,UNKNOWN,UNKNOWN,Monet2,False,parametric,parametric
168,WD0uyxvusJmVxfeKu9mZ,Monet2,UNKNOWN,UNKNOWN,Monet2,False,parametric,parametric
169,GHn0W57E+2PS+Qr5yD2r,Monet2,UNKNOWN,UNKNOWN,Monet2,False,parametric,parametric
170,S9e9906Bh9i7miFF1FT1,Clip,Cinematic,The Matrix Revolutions (2003),Cinematic,True,filmed,human_filmed
171,k6/Mk+Z3HeCjwIScEKXM,Clip,Cinematic,Powaqqatsi: Life in Transformation (1988),Cinematic,True,filmed,human_filmed
172,1zZz8TPZsIKq4pKb/yAQ,Clip,sports1m,2008 Arizona State Cyclocross Championships - Cat 4 Mens Race,Sports1M,True,filmed,human_filmed
173,W9PhvcgxgpNuRLq53nPp,Clip,Rendered,mountainlake_006-1-0-70-0_52.205.253.179,Rendered,True,rendered,cg_natural
174,U71TseoeZ1Qq6cJkBPY8,Clip,Rendered,run278-subway-1-0,Rendered,True,rendered,cg_natural
175,NiOaEJ0goACjxtoTu9lS,Clip,Rendered,mountainlake_103-1-0-70-0_54.210.37.143,Rendered,True,rendered,cg_natural
176,sqixASj1eIKP/HzsdZ3a,Clip,Rendered,swamp_008-1-11-70-0_54.162.127.170,Rendered,True,rendered,cg_natural
177,0CcuuU2uAP75V7ZT2Hv7,Clip,Rendered,subway_117-1-3-70-0_107.23.36.15,Rendered,True,rendered,cg_natural
178,dnyyvKVpY1VYxdZpZV67,Clip,sports1m,2008 Allen Park Criterium Juniors 10-14 and 15-18,Sports1M,True,filmed,human_filmed
179,dZcmuxCcp3+Gk3f5e84U,Clip,sports1m,2012 August 14 Midweek MTB Solitude XC Mountain Bike Race,Sports1M,True,filmed,human_filmed
180,OcyWIFPRF/n5asxF9HF0,Clip,Cinematic,Mad Max: Fury Road (2015),Cinematic,True,filmed,human_filmed
181,ldMdPEelpOOQG1Pj3bL3,Clip,sports1m,2012 July 17 Midweek MTB Deer Valley Silver Lake Lodge XC Race (Stabilized),Sports1M,True,filmed,human_filmed
182,YWGU9pCJb1jD1EEZ20tf,Clip,Cinematic,The Matrix Reloaded (2003),Cinematic,True,filmed,human_filmed
183,FQR1XltfRJLPikdVpYNn,Clip,Rendered,mountainlake_008-1-0-70-0_54.205.66.32,Rendered,True,rendered,cg_natural
184,O/TPbFEXzCLov05/KwS+,Clip,sports1m,2011 June 15 Weekly Race Series Soldier Hollow XC Mountain Bike Race,Sports1M,True,filmed,human_filmed
185,GLb98O6GN6r7256/fA8Y,Clip,Cinematic,The Matrix (1999),Cinematic,True,filmed,human_filmed
186,SuNRz+E/BsGGxVlNWLt9,Clip,Rendered,shintoday_036-1-12-70-0_184.73.123.94,Rendered,True,rendered,cg_natural
187,mbeT2YEuzrol94GMBsSP,Clip,Rendered,lowpolyjungle_113-1-9-70-0_54.159.174.165,Rendered,True,rendered,cg_natural
188,lq+zTwA2+jBucPm3SE49,Clip,Rendered,subway_018-1-3-70-0_107.23.36.15,Rendered,True,rendered,cg_natural
189,xAc0owS/GE0wu5YB9PPo,Clip,Cinematic,Koyaanisqatsi: Life Out of Balance (1982),Cinematic,True,filmed,human_filmed
190,ttSWZg/k6EtLiWxqidOR,Clip,Rendered,lowpolyjungle_041-1-9-70-0_107.23.36.15,Rendered,True,rendered,cg_natural
191,9upUktNyZDZo61aQjaYJ,Clip,sports1m,2011 August 10 Weekly Race Series Soldier Hollow XC Mountain Bike Race,Sports1M,True,filmed,human_filmed
192,MBjHkJmi9At0bNqIqykz,Clip,sports1m,2010 WORLDS Dremiel Byers (USA) dec Ioseb Chugoshvili (BLR) 120 kg GR,Sports1M,True,filmed,human_filmed
193,VwIYiKdJHVLqYdwPdeV0,Clip,Cinematic,The Matrix Reloaded (2003),Cinematic,True,filmed,human_filmed
